customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil
1-553513-KF,M,45609,TLAQUEPAQUE,JALISCO,W1009,100,6150.0,S
1-478454-[H,M,36030,GUANAJUATO,GUANAJUATO,V0236,280,9931.0,C
1-518447-BI,F,44647,GUADALAJARA,JALISCO,Z8083,3808,6150.0,C
1-327479-DW,F,7800,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0998,99,9934.0,S
1-263763-NX,M,68000,OAXACA DE JUAREZ,OAXACA,V0455,353,9933.0,C
1-269996-CL,F,44950,GUADALAJARA,JALISCO,W3052,305,6150.0,C
1-232561-LG,M,87000,VICTORIA,TAMAULIPAS,W2718,271,9932.0,C
1-825278-ZP,F,30780,TAPACHULA,CHIAPAS,W3608,360,9610.0,S
1-203134-PO,M,77776,TULUM,QUINTANA ROO,W3782,378,9610.0,S
1-807636-EP,M,52996,ATIZAPAN DE ZARAGOZA,MEXICO,V0578,13,9934.0,C
1-797070-ON,M,45260,IXTLAHUACAN DEL RIO,JALISCO,V0661,176,6150.0,C
1-412396-WJ,F,44600,GUADALAJARA,JALISCO,V0402,106,6150.0,V
1-405820-DI,M,7469,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0518,51,9934.0,C
1-815329-RG,M,94297,BOCA DEL RIO,VERACRUZ DE IGNACIO DE LA LLAVE,V8150,1438,9933.0,S
1-223023-BE,M,39850,ACAPULCO DE JUAREZ,GUERRERO,V0039,509,9933.0,C
1-149393-PX,M,55120,ECATEPEC DE MORELOS,MEXICO,Z0202,3020,9934.0,S
1-138243-XH,M,3900,BENITO JUAREZ,CIUDAD DE MEXICO,V0451,3016,4831.0,C
1-648631-P[,F,45190,ZAPOPAN,JALISCO,W6958,695,6150.0,C
1-550725-JB,M,44810,GUADALAJARA,JALISCO,V0281,115,6150.0,C
1-914239-LQ,F,47020,SAN JUAN DE LOS LAGOS,JALISCO,V0648,155,6150.0,C
1-254134-LM,M,3600,BENITO JUAREZ,CIUDAD DE MEXICO,W0558,55,4831.0,S
1-534255-YA,M,39960,SAN MARCOS,GUERRERO,V0039,75,9933.0,S
1-238782-EE,F,53110,NAUCALPAN DE JUAREZ,MEXICO,Z5572,3557,9934.0,S
1-186383-GA,M,47300,YAHUALICA DE GONZALEZ GAL,JALISCO,W1648,164,6150.0,C
1-461757-E\,F,47694,TEPATITLAN DE MORELOS,JALISCO,X9132,1913,6150.0,C
1-601544-WR,F,44490,GUADALAJARA,JALISCO,W1168,116,6150.0,C
1-454615-WJ,M,44680,GUADALAJARA,JALISCO,V0399,3046,6150.0,C
1-930747-B[,F,49700,SAN GABRIEL,JALISCO,W1662,166,6150.0,C
1-853504-AR,M,3020,BENITO JUAREZ,CIUDAD DE MEXICO,W0554,55,4831.0,S
1-673172-LX,M,37270,LEON,GUANAJUATO,V0041,274,9931.0,C
1-287276-SK,F,97113,MERIDA,YUCATAN,W4013,401,9610.0,S
1-829110-QQ,F,36000,GUANAJUATO,GUANAJUATO,W8663,866,9931.0,S
1-894354-UH,F,7969,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0233,23,9934.0,S
1-911766-C[,M,44290,GUADALAJARA,JALISCO,W3038,303,6150.0,C
