customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil,CVE_SUC,NOM_SUC,CVE_ZONA,NOM_ZONA,CVE_COORD,NOM_COORD,latitud,longitud
1-103861-KQ,M,82120,MAZATLAN,SINALOA,W2038,203,6777.0,S,203,SUC. CENTRO MAZATLAN,6777,D DIV  RB NOROESTE,7218,NO08 - SINALOA NORTE,23.2445495,-106.4262632
1-149504-NQ,F,88900,RIO BRAVO,TAMAULIPAS,V0214,260,9932.0,C,260,SUC. RIO BRAVO,9932,D DIV RB NORTE,8044,N07 - MATAMOROS-REYNOSA,25.9868156,-98.1004398
1-466176-OX,F,2100,AZCAPOTZALCO,CIUDAD DE MEXICO,Z0583,3058,9934.0,C,3058,SUC.TECNOPARQUE,9934,D DIV RB METRO NORTE,5206,MN06 - LINDAVISTA,19.5102639,-99.2028071
1-343060-UZ,F,62000,CUERNAVACA,MORELOS,V0217,85,4831.0,S,85,SUC. CUERNAVACA  CENTRO,4831,D DIV RB METRO SUR,5814,MS06 - MORELOS,18.9220082,-99.2364912
1-865071-AW,M,45050,ZAPOPAN,JALISCO,W0998,99,9934.0,S,99,SUC. TORRE HSBC,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA,20.655743,-103.4182397
1-854407-IV,M,45150,ZAPOPAN,JALISCO,W0522,52,9934.0,C,52,SUC. BOSQUES LOMAS,9934,D DIV RB METRO NORTE,5235,MN03 - SANTA FE,20.7197684,-103.3783504
1-899611-LC,F,86059,CENTRO,TABASCO,W4168,416,9610.0,S,416,SUC.PLAZA CATEDRAL,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO,17.9957992,-92.9420904
1-504952-FP,F,58195,MORELIA,MICHOACAN DE OCAMPO,W0932,93,4831.0,C,93,SUC. M.ANGEL DE QUEVEDO,4831,D DIV RB METRO SUR,5212,MS08 - COYOACAN,19.6740273,-101.2382717
1-863788-[Z,F,95260,ALVARADO,VERACRUZ,W3368,336,9933.0,S,336,SUC. OF. CENTRAL,9933,D DIV RB  SUR,5219,S05 - VERACRUZ,19.0561896,-95.9780755
1-601202-TF,M,16070,XOCHIMILCO,CIUDAD DE MEXICO,V0582,3002,9934.0,C,3002,SUC. PLAZA SATELITE,9934,D DIV RB METRO NORTE,5205,MN04 - SATELITE,19.2622367,-99.1028894
1-367084-UT,M,86650,COMALCALCO,TABASCO,W3528,352,9610.0,S,352,SUC. RUIZ CORTINEZ,9610,D DIV RB PENINSULAR,9000,P02 - TABASCO,18.305297,-93.202434
1-156168-WW,F,7460,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0278,27,9934.0,S,27,SUC. VILLA,9934,D DIV RB METRO NORTE,5206,MN06 - LINDAVISTA,19.4786966,-99.1069835
1-749566-YK,F,22500,TIJUANA,BAJA CALIFORNIA,W1322,132,6777.0,C,132,SUC. PLAYAS,6777,D DIV  RB NOROESTE,7489,NO02 - PACIFICO NORTE,32.5249141,-117.1166353
1-151206-EC,M,35150,LERDO,DURANGO,W2302,230,9932.0,C,230,SUC. GOMEZ PALACIO,9932,D DIV RB NORTE,8727,N09 - TORREON,25.5367703,-103.5256356
1-176392-WX,M,72580,PUEBLA,PUEBLA,V8169,779,9933.0,C,779,SUC. BUGAMBILIAS,9933,D DIV RB  SUR,5223,S02 - PUEBLA,19.0108545,-98.214165
1-742446-PC,F,44750,GUADALAJARA,JALISCO,X1002,1100,9934.0,S,1100,SUC. AMERICAS OBSERVATORIO,9934,D DIV RB METRO NORTE,5224,MN05 - CONDESA ROMA,20.6773993,-103.2901773
1-249375-MI,M,48760,TONAYA,JALISCO,W1673,167,6150.0,C,167,SUC. TONAYA,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA,19.7834143,-103.9679376
1-524936-T[,F,14370,TLALPAN,CIUDAD DE MEXICO,W0014,1,4831.0,S,1,SUC. JUAREZ.,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO,19.2924524,-99.143318
1-445247-B\,M,9890,IZTAPALAPA,CIUDAD DE MEXICO,W0192,19,9934.0,S,19,SUC. POLANCO,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA,19.3204793,-99.0936554
1-915558-GF,F,37178,LEON,GUANAJUATO,W2843,284,9931.0,C,284,SUC. CENTRO AGUASCALIENTES,9931,D DIV RB CENTRO,6205,C02 - AGS ZAC,21.1572636,-101.6772659
1-255293-IX,F,53160,NAUCALPAN,MEXICO,W0994,99,9934.0,C,99,SUC. TORRE HSBC,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA,19.4963888,-99.2322137
1-953310-VJ,F,21379,MEXICALI,BAJA CALIFORNIA,W1443,144,6777.0,S,144,SUC. ESTACION VICTORIA,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI,32.6239886,-115.4130979
1-171498-MY,F,14120,TLALPAN,CIUDAD DE MEXICO,W5801,580,4831.0,C,580,SUC. SANTA TERESA,4831,D DIV RB METRO SUR,5214,MS05 - PEDREGAL,19.3099223,-99.2199541
1-756042-PF,M,67150,GUADALUPE,NUEVO LEON,W4213,421,9932.0,C,421,SUC.RUIZ CORTINES,9932,D DIV RB NORTE,8150,N01 - MONTERREY 1,25.6841372,-100.2467197
1-954151-IO,F,74630,EPATLAN,PUEBLA,W3194,319,9933.0,C,319,SUC. IZUCAR MATAMOROS,9933,D DIV RB  SUR,5218,S01 - PUEBLA,18.9347054,-98.471842
1-823613-VP,M,9200,IZTAPALAPA,CIUDAD DE MEXICO,W0173,17,9934.0,S,17,SUC. ZONA ROSA,9934,D DIV RB METRO NORTE,5224,MN05 - CONDESA ROMA,19.3571668,-99.0556182
1-870671-BK,M,11350,MIGUEL HIDALGO,CIUDAD DE MEXICO,W0222,22,9934.0,S,22,SUC. NONOALCO,9934,D DIV RB METRO NORTE,5224,MN05 - CONDESA ROMA,19.4550305,-99.1698158
1-696944-HQ,M,73160,HUAUCHINANGO,PUEBLA,W3272,327,9933.0,C,327,SUC. HUAUCHINANGO PUEBLA,9933,D DIV RB  SUR,8611,S06 - POZA RICA,20.1762623,-97.9945056
1-602944-UE,M,2240,AZCAPOTZALCO,CIUDAD DE MEXICO,W0994,99,9934.0,C,99,SUC. TORRE HSBC,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA,19.4930262,-99.1796515
1-409243-RT,F,48050,AYUTLA,JALISCO,W1702,170,6150.0,S,170,SUC. AYUTLA,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA,20.1289607,-104.3468293
1-850761-JQ,M,31214,CHIHUAHUA,CHIHUAHUA,V0574,219,6777.0,C,219,SUC. PERIFERICO,6777,D DIV  RB NOROESTE,7701,NO10 - CHIHUAHUA CENTRO,28.6363032,-106.1013628
1-335835-HL,F,44600,GUADALAJARA,JALISCO,Z0154,3015,4831.0,S,3015,SUC. GALERIAS INSURGENTES,4831,D DIV RB METRO SUR,5212,MS08 - COYOACAN,20.6854385,-103.3721518
